Date,Close
30-04-2020,190.4
29-04-2020,190
28-04-2020,184.3
27-04-2020,180.85
24-04-2020,179.7
23-04-2020,186.8
22-04-2020,188.6
21-04-2020,184.9
20-04-2020,192.55
17-04-2020,193.3
16-04-2020,188.6
15-04-2020,182.3
13-04-2020,183.55
09-04-2020,187.7
08-04-2020,182.9
07-04-2020,186.35
03-04-2020,175.55
01-04-2020,186.6
31-03-2020,196.95
30-03-2020,186.95
27-03-2020,196.05
26-03-2020,192.85
25-03-2020,189.95
24-03-2020,183.35
23-03-2020,181.6
20-03-2020,209.65
19-03-2020,203.85
18-03-2020,214.65
17-03-2020,214.9
16-03-2020,223.25
13-03-2020,242.25
12-03-2020,212.75
11-03-2020,245.2
09-03-2020,253.7
06-03-2020,270.45
05-03-2020,288.3
04-03-2020,285.3
03-03-2020,289.85
02-03-2020,287.45
28-02-2020,302.9
27-02-2020,321.95
26-02-2020,328.25
25-02-2020,326.6
24-02-2020,322.9
20-02-2020,327.65
19-02-2020,320.25
18-02-2020,317.6
17-02-2020,314.2
14-02-2020,319.55
13-02-2020,327.45
12-02-2020,320
11-02-2020,324.35
10-02-2020,318.5
07-02-2020,320.5
06-02-2020,322
05-02-2020,310.95
04-02-2020,306.25
03-02-2020,298
01-02-2020,303.15
31-01-2020,318.55
30-01-2020,310.7
29-01-2020,316.4
28-01-2020,314.85
27-01-2020,316.2
24-01-2020,324.05
23-01-2020,323.25
22-01-2020,316.1
21-01-2020,313.65
20-01-2020,313.95
17-01-2020,318
16-01-2020,323.25
15-01-2020,324.2
14-01-2020,327.9
13-01-2020,330.6
10-01-2020,332.25
09-01-2020,330.25
08-01-2020,319.85
07-01-2020,318.25
06-01-2020,318.95
03-01-2020,333.75
02-01-2020,339.3
01-01-2020,334.35
31-12-2019,333.7
30-12-2019,334.25
27-12-2019,337.25
26-12-2019,329.85
24-12-2019,331.3
23-12-2019,332.35
20-12-2019,337.85
19-12-2019,328.15
18-12-2019,326.9
17-12-2019,332.85
16-12-2019,331.8
13-12-2019,332.7
12-12-2019,321.8
11-12-2019,312.7
10-12-2019,313.45
09-12-2019,316.75
06-12-2019,319.8
05-12-2019,336.25
04-12-2019,341.9
03-12-2019,336.2
02-12-2019,338.55
29-11-2019,341.85
28-11-2019,348.95
27-11-2019,343.6
26-11-2019,335.45
25-11-2019,336.1
22-11-2019,329.15
21-11-2019,331.35
20-11-2019,328.7
19-11-2019,330.3
18-11-2019,325.2
15-11-2019,322
14-11-2019,306.1
13-11-2019,306.55
11-11-2019,318.3
08-11-2019,315.85
07-11-2019,318.15
06-11-2019,317.55
05-11-2019,319.2
04-11-2019,314.2
01-11-2019,313.5
31-10-2019,312.25
30-10-2019,289.95
29-10-2019,280.5
27-10-2019,282.05
25-10-2019,281.6
24-10-2019,262.7
23-10-2019,275.5
22-10-2019,270.45
18-10-2019,269.65
17-10-2019,265.45
16-10-2019,255.9
15-10-2019,258.4
14-10-2019,255.45
11-10-2019,254.5
10-10-2019,254.05
09-10-2019,260.9
07-10-2019,249
04-10-2019,249.9
03-10-2019,255
01-10-2019,256
30-09-2019,270.9
27-09-2019,281.25
26-09-2019,281.9
25-09-2019,280.15
24-09-2019,302.45
23-09-2019,313.6
20-09-2019,301.7
19-09-2019,274.05
18-09-2019,280.5
17-09-2019,273.9
16-09-2019,284.65
13-09-2019,291.7
12-09-2019,286.85
11-09-2019,285.3
09-09-2019,277.9
06-09-2019,273.95
05-09-2019,273.15
04-09-2019,274.95
03-09-2019,268.35
30-08-2019,273.7
29-08-2019,274.65
28-08-2019,284.9
27-08-2019,285.7
26-08-2019,280.25
23-08-2019,271.1
22-08-2019,268.4
21-08-2019,277.4
20-08-2019,283.65
19-08-2019,286.7
16-08-2019,290.95
14-08-2019,289.85
13-08-2019,283.4
09-08-2019,291.35
08-08-2019,294.3
07-08-2019,289.95
06-08-2019,301.25
05-08-2019,300.25
02-08-2019,308.45
01-08-2019,317.2
31-07-2019,332.05
30-07-2019,327.5
29-07-2019,343.65
26-07-2019,342.5
25-07-2019,341.4
24-07-2019,339.65
23-07-2019,342.05
22-07-2019,350.8
19-07-2019,356
18-07-2019,363.65
17-07-2019,372.15
16-07-2019,364.25
15-07-2019,359.95
12-07-2019,363.55
11-07-2019,363.1
10-07-2019,354.2
09-07-2019,359.15
08-07-2019,355.25
05-07-2019,370.6
04-07-2019,367.3
03-07-2019,366.15
02-07-2019,364.5
01-07-2019,361.5
28-06-2019,360.9
27-06-2019,362.05
26-06-2019,358
25-06-2019,356.5
24-06-2019,353.25
21-06-2019,349.45
20-06-2019,345.05
19-06-2019,338.85
18-06-2019,340.25
17-06-2019,337.75
14-06-2019,343.85
13-06-2019,346.3
12-06-2019,344.2
11-06-2019,347.35
10-06-2019,343.4
07-06-2019,341.65
06-06-2019,337.05
04-06-2019,352.35
03-06-2019,354.9
31-05-2019,352.55
30-05-2019,353.65
29-05-2019,348.55
28-05-2019,360.4
27-05-2019,361.45
24-05-2019,354.6
23-05-2019,342.3
22-05-2019,340.85
21-05-2019,337.55
20-05-2019,344.6
17-05-2019,318.95
16-05-2019,315.2
15-05-2019,311.6
14-05-2019,313.9
13-05-2019,306.75
10-05-2019,308.05
09-05-2019,299.25
08-05-2019,298.1
07-05-2019,305.85
06-05-2019,308.7
03-05-2019,309.15
02-05-2019,307.45
30-04-2019,310.2
26-04-2019,312.3
25-04-2019,306.3
24-04-2019,310.7
23-04-2019,305.65
22-04-2019,310
18-04-2019,310.9
16-04-2019,315.8
15-04-2019,315.65
12-04-2019,315.3
11-04-2019,314.7
10-04-2019,311.2
09-04-2019,315.15
08-04-2019,312.8
05-04-2019,317
04-04-2019,321.7
03-04-2019,320.65
02-04-2019,328.55
01-04-2019,322.8
29-03-2019,320.8
28-03-2019,318.4
27-03-2019,308.05
26-03-2019,303.3
25-03-2019,293.8
22-03-2019,298.1
20-03-2019,303.45
19-03-2019,302.75
18-03-2019,298.45
15-03-2019,297.7
14-03-2019,291.15
13-03-2019,292.65
12-03-2019,286.5
11-03-2019,286.8
08-03-2019,281.25
07-03-2019,281.15
